DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,FEX_C
7671738,1,1,9.37547697725094
7815926,1,1,26.6896425652822
7905644,1,2,33.741882199065
7756223,1,1,11.7737860866285
7905640,1,1,15.8457835156328
7969937,1,1,25.7111414005137
7776730,1,1,10.3584902715421
7987370,1,1,13.9131854273462
7629802,1,1,45.325147357696
7809369,1,1,33.7801362330578
7894073,1,1,14.9938322053973
7714435,1,1,10.1959864550425
7872594,1,2,16.0447789932202
7991241,1,2,20.2301322984323
7634696,1,5,9.06502947153921
7770605,1,1,21.7096924232273
7647312,1,1,7.77002526131932
7875191,1,2,24.5577937160799
7953456,1,2,11.9715121471239
7962209,1,1,14.26428578501
7716269,1,2,15.0688259596897
7858781,1,1,13.2371894452052
7772934,1,1,18.7249622210359
7992388,1,1,11.8439158145548
7716277,1,1,8.97351884371636
7723161,1,2,26.4164940640367
7998190,1,1,14.5192509801988
7780551,1,3,14.020028572147
8022206,1,1,23.8653380204604
7784412,1,1,18.7249622210359
7901281,1,1,43.3206652800491
7772936,1,2,22.4243576396623
7960000,1,2,18.2197192421398
7872589,1,1,20.0697210434954
7754879,1,1,12.5335014228483
7987373,1,2,18.2204208055198
7781600,1,1,19.471061820763
7815943,1,1,36.7670043116974
7901292,1,2,20.9517964463035
7992390,1,2,27.3912462423281
7905641,1,2,14.1686534427296
7994712,1,2,27.3306312082796
7910131,1,1,5.4415387434606
7713749,1,2,12.8475323153979
8018346,1,3,21.2140003507081
7863898,1,1,17.2282787125087
7754880,1,1,12.201049223764
7965508,1,1,26.1805689639968
8018363,1,1,19.6714457956745
7994720,1,1,24.3273653223701
7756218,1,1,15.9481669831948
7986012,1,1,19.7888269241966
7627480,1,1,27.185849368523
7898438,1,1,11.3200278324116
7780556,1,1,16.2776275695662
7668064,1,1,19.8610255379091
7662506,1,1,16.1902823061067
8010282,1,1,10.9905373611298
7690951,1,1,31.0330140312364
7696712,1,2,17.9498919003732
7664671,1,1,15.8929887781444
7744680,1,1,21.4052798293818
7809401,1,2,19.7402744034463
7894072,1,3,16.7089698976155
7647277,1,1,7.25202357723137
7633606,1,3,13.4296732911692
7804799,1,1,17.7377239202396
7994746,1,1,20.4791816450198
7637036,1,1,8.15852652438529
8015477,1,2,23.7164797102072
7742104,1,1,17.6205118165298
7647308,1,1,22.0495140094754
7668069,1,1,32.9620668782018
7664657,1,2,30.4163097540041
8016582,1,1,40.4040884173325
7780570,1,1,23.4062027762949
7685555,1,3,8.00083855049295
7858787,1,2,17.1264616186095
7805848,1,2,22.5200908220386
7671733,1,1,27.9124360797632
7867295,1,1,24.332578171613
7981683,1,2,22.3532504467952
7696697,1,1,12.1983870501636
7858781,1,2,13.2371894452052
7668072,1,1,29.1371460932647
7901301,1,1,7.65216385799147
7698700,1,1,21.714410602352
8010265,1,3,30.0271158041609
7910148,1,1,7.65216385799147
7780555,1,1,23.8264447677898
7713755,1,1,12.8622843662626
8010287,1,3,16.45673293304
8015477,1,1,23.7164797102072
7809409,1,2,22.2259466228261
8022194,1,1,20.5097631002944
7713749,1,1,12.8475323153979
7784436,1,2,15.7788925195253
7991229,1,1,31.0151801219123
7775233,1,2,8.11037029590015
7910174,1,1,43.6403925749288
7858778,1,1,19.4618882029654
7809398,1,3,18.2431751526105
8018360,1,1,19.6714457956745
7965515,1,3,34.4602998058583
7685571,1,2,11.6684767881721
7901297,1,1,18.4046630176718
7910176,1,1,21.4872922572073
7698709,1,2,29.698476508526
7871046,1,1,10.3329265417681
7981683,1,1,22.3532504467952
7695412,1,1,14.9707890863409
7967097,1,1,22.7561616077401
8018340,1,2,16.0568996635852
7685548,1,1,17.9634340915641
7747909,1,1,25.3400354935748
7723140,1,1,14.1327208812663
7695399,1,2,18.7134863579261
7800022,1,1,7.90705803729692
7809378,1,1,18.4255288543952
8015468,1,2,45.7344820026354
7776728,1,1,20.5659439012021
7969899,1,2,14.216546301772
7894071,1,1,20.245129319439
7901286,1,1,14.0492784957257
7858790,1,2,34.0140632588904
7776723,1,1,19.0087259823592
7784436,1,1,15.7788925195253
7668047,1,1,8.30161081101517
7967079,1,1,23.5203877699643
8018361,1,1,19.8499993302211
7728778,1,2,16.6455237795334
7894072,1,1,16.7089698976155
7965515,1,4,34.4602998058583
8016568,1,2,33.049590108828
7953472,2,1,13.7892839475253
7744681,1,1,38.765151441662
7637034,1,1,8.15852652438529
7690002,1,1,27.9570202942748
7809415,1,1,14.2140923210235
7958966,1,2,36.9531063595706
7696719,1,1,19.5545524335974
